"RECNUM","SEX","AGYSPNDS","AgeAtAdopt","ChildRace","BioMomAgeAtBirth","MOMARRD"
"10115515140",2,2,0,1,20,1
"10185923110",1,2,1,2,29,2
"10199738080",2,2,0,1,24,2
"10206906020",2,2,0,99,28,2
"10286352150",1,2,1,99,36,2
"10291477140",2,2,0,99,23,2
"10291478120",1,2,0,99,23,2
"10302822130",1,2,0,1,24,2
"10330723240",1,2,0,99,22,2
"10614847090",2,2,0,1,28,2
"10617944030",2,2,0,99,24,2
"10698877230",1,2,0,1,15,NA
"10835477240",2,2,0,99,32,2
"10861672080",1,2,0,99,23,1
"12204218080",1,2,1,1,24,2
"12204384010",1,2,2,99,23,2
"12209504080",2,2,1,99,23,2
"12211837170",1,2,2,99,26,2
"12212759200",1,2,2,99,31,2
"12216673140",2,2,1,99,22,2
"12216901220",1,2,2,1,29,2
"12219536050",2,2,1,1,26,2
"12222439200",1,2,2,2,42,2
"12223880160",1,2,1,1,26,2
"12225039010",2,2,2,2,30,2
"12228044060",2,2,2,1,20,1
"12228543160",2,2,1,1,36,1
"12231388170",1,2,1,1,20,2
"12240120110",1,2,0,99,23,2
"12241623180",2,2,1,1,26,2
"12244960020",2,2,1,2,26,3
"12245629110",1,2,1,1,26,2
"12248980250",2,2,1,1,24,1
"12248993150",1,2,1,3,30,2
"12252116060",2,2,1,1,25,2
"12258639190",1,2,2,1,29,2
"12258751190",2,2,1,4,40,3
"12262631050",1,2,2,2,31,2
"12266345240",1,2,1,1,23,2
"12267089060",1,2,1,1,35,2
"12274307130",1,2,1,1,24,2
"12276175190",2,2,1,99,30,2
"12277593130",1,2,3,1,20,1
"12277594110",2,2,2,1,21,1
"12279057030",2,2,1,99,22,2
"12285210030",1,2,1,1,24,2
"12285795160",1,2,1,1,25,1
"12288970160",1,2,0,1,25,2
"12289439150",1,2,1,1,21,2
"12292194130",2,2,2,99,19,2
"12293705030",1,2,4,1,19,2
"12294844140",2,2,1,7,28,2
"12297576200",2,2,1,99,28,2
"12301187210",2,2,1,4,37,2
"12303909220",2,2,0,2,27,2
"12313142030",1,2,1,2,31,2
"12313228170",2,2,1,2,32,2
"12315269130",1,2,1,1,20,2
"12316112160",1,2,1,1,30,2
"12317720210",2,2,1,1,30,2
"12328643130",2,2,1,1,28,2
"12331519080",1,2,1,2,27,2
"12334698150",1,2,1,1,28,2
"12336558050",1,2,1,2,31,2
"12337770030",1,2,15,2,38,2
"12344511140",2,2,1,1,25,2
"12351216210",1,2,0,1,33,1
"12352457170",2,2,1,99,23,2
"12353009260",1,2,0,1,23,2
"12354282220",2,2,1,1,22,2
"12355251200",2,2,1,1,27,2
"12355803110",2,2,0,1,22,2
"12356646120",1,2,1,1,22,1
"12357903170",2,2,1,1,23,2
"12359540050",1,2,1,2,27,2
"12361085250",1,2,1,1,24,2
"12364118140",1,2,1,99,34,1
"12379075050",2,2,1,1,23,2
"12386969160",1,2,1,1,18,3
"12423436200",1,2,1,99,17,2
"12452751090",1,2,0,1,20,2
"12467393250",1,2,1,1,35,2
"12477870130",1,2,1,7,23,2
"12479978260",2,2,1,1,22,2
"12528239240",1,2,1,1,38,2
"12534938250",1,2,0,1,33,2
"12574601160",2,2,1,1,30,2
"12582006060",1,2,1,1,31,2
"12597536020",2,2,1,1,25,2
"12612275110",1,2,1,1,32,2
"12629142060",1,2,1,2,31,2
"12653048010",2,2,0,1,36,NA
"12662517060",1,2,0,1,33,1
"12677154090",2,2,1,1,36,2
"12677155060",2,2,1,1,36,2
"12698447190",2,2,1,1,20,2
"240841000000",1,2,20,1,NA,2
"241151000000",1,2,19,1,18,2
"241165000000",2,2,19,1,22,NA
"241625000000",1,1,20,2,26,2
"241660000000",1,2,18,2,23,1
"241694000000",2,2,18,1,21,1
"241706000000",2,2,17,1,19,2
"241734000000",1,2,17,2,23,1
"241800000000",1,2,17,1,23,3
"241824000000",2,2,17,1,34,1
"241832000000",1,2,17,2,33,3
"241839000000",1,2,17,1,23,3
"241881000000",2,1,18,2,NA,2
"241884000000",1,2,20,2,31,2
"241903000000",1,1,18,1,32,2
"241918000000",1,1,18,99,18,2
"241919000000",1,2,17,1,28,2
"241927000000",1,2,16,1,19,2
"241954000000",1,2,17,6,29,2
"241959000000",1,2,18,1,20,3
"241968000000",1,2,17,2,31,3
"241979000000",2,2,17,7,30,2
"242048000000",2,2,17,2,25,2
"242052000000",1,2,16,1,NA,1
"242059000000",1,2,16,2,24,1
"242070000000",2,2,17,2,12,3
"242070000000",1,2,17,99,18,2
"242086000000",2,2,16,1,28,1
"242089000000",1,2,16,1,NA,2
"242125000000",1,2,18,2,23,2
"242133000000",1,2,16,1,20,1
"242135000000",2,2,18,2,24,3
"242139000000",1,2,16,1,31,2
"242146000000",1,2,16,1,23,2
"242147000000",1,1,16,2,28,2
"242162000000",1,2,16,1,37,1
"242173000000",2,2,16,1,26,2
"250100000000",1,2,13,1,20,1
"250103000000",1,2,15,2,14,2
"250106000000",2,2,13,1,22,2
"250115000000",1,2,18,1,NA,2
"250135000000",1,1,14,7,36,2
"250143000000",1,2,15,2,32,2
"250151000000",2,2,15,1,33,1
"250162000000",2,2,13,2,22,2
"250164000000",1,2,13,99,32,2
"250178000000",1,2,14,1,18,2
"250179000000",1,2,13,1,22,2
"250179000000",1,2,13,1,27,1
"250179000000",1,2,13,2,17,2
"250186000000",2,2,13,1,32,1
"250195000000",1,2,14,2,20,3
"250200000000",1,2,13,99,18,2
"250209000000",1,2,13,1,27,2
"250239000000",1,2,13,7,38,2
"250239000000",1,2,13,1,32,1
"250257000000",1,2,14,1,22,2
"250262000000",1,2,13,2,35,3
"250268000000",1,2,17,7,25,2
"250268000000",1,2,15,7,28,2
"250268000000",1,2,15,7,28,2
"250272000000",1,2,14,2,23,2
"250279000000",2,2,13,2,18,2
"250287000000",1,2,13,1,31,1
"250302000000",2,2,14,2,21,2
"250328000000",2,2,17,2,21,2
"250332000000",2,2,13,1,29,1
"250344000000",1,2,14,2,35,3
"250374000000",1,2,13,99,20,1
"250380000000",1,2,12,1,18,2
"250394000000",1,2,15,2,21,2
"250396000000",2,2,18,2,27,2
"250505000000",2,2,12,99,28,2
"250508000000",2,2,17,2,28,2
"250513000000",1,2,13,1,32,1
"250520000000",1,2,12,1,40,1
"250524000000",1,2,13,2,17,3
"250527000000",1,2,12,7,23,2
"250531000000",2,2,15,2,20,3
"250531000000",1,2,14,2,21,3
"250549000000",2,2,12,1,23,2
"250556000000",2,2,12,1,24,2
"250567000000",1,2,13,7,38,2
"250591000000",2,2,13,2,28,2
"250596000000",2,2,14,1,18,2
"250598000000",2,2,12,1,29,1
"250603000000",1,2,14,1,25,3
"250613000000",2,2,13,1,22,2
"250620000000",2,2,12,1,21,2
"250620000000",2,2,12,2,16,2
"250637000000",2,2,12,1,23,2
"250643000000",2,2,13,2,29,2
"250647000000",2,2,12,2,39,3
"250647000000",2,2,15,7,21,2
"250650000000",1,1,12,2,27,2
"250661000000",2,2,12,1,17,2
"250664000000",2,2,11,1,27,3
"250670000000",1,2,12,1,16,3
"250681000000",2,2,10,99,22,2
"250693000000",2,2,13,7,17,3
"250694000000",2,2,12,1,19,1
"250809000000",2,2,13,2,28,2
"250820000000",1,2,13,7,26,2
"250823000000",2,2,12,7,15,2
"250834000000",1,2,12,1,18,2
"250838000000",1,2,14,2,21,2
"250843000000",1,2,11,1,21,1
"250850000000",1,2,12,99,20,2
"250855000000",1,2,12,2,22,2
"250856000000",1,2,11,1,17,2
"250871000000",2,2,12,1,23,2
"250872000000",1,2,12,1,24,2
"250876000000",1,2,12,7,23,1
"250878000000",2,2,11,1,31,2
"250899000000",2,2,12,7,38,3
"250916000000",2,2,11,99,31,2
"250918000000",1,2,16,7,NA,3
"250918000000",2,2,12,2,33,2
"250918000000",2,2,12,2,33,2
"250945000000",2,2,12,1,22,NA
"250951000000",2,2,12,1,22,1
"250952000000",1,1,12,7,18,2
"250956000000",1,2,17,7,20,2
"250956000000",2,2,13,7,25,2
"250959000000",2,2,11,1,29,2
"250965000000",1,2,11,1,24,2
"250984000000",1,2,11,2,29,2
"250990000000",1,2,11,1,24,2
"250996000000",1,2,11,7,19,3
"251101000000",1,2,11,7,20,2
"251121000000",1,2,12,1,26,2
"251140000000",1,2,11,7,26,1
"251142000000",1,2,11,1,23,1
"251147000000",2,2,12,2,39,3
"251149000000",1,1,12,2,30,2
"251151000000",2,2,11,2,32,3
"251151000000",2,2,12,2,31,3
"251158000000",1,2,11,1,21,3
"251193000000",2,2,14,1,39,2
"251199000000",2,1,15,7,NA,2
"251204000000",2,2,11,1,18,2
"251210000000",2,2,12,2,19,2
"251223000000",2,2,12,7,20,2
"251225000000",1,2,10,1,21,2
"251236000000",2,2,13,2,31,2
"251237000000",1,2,11,1,22,2
"251242000000",2,2,11,1,35,2
"251244000000",2,2,16,2,23,2
"251251000000",1,2,11,2,27,2
"251253000000",2,2,15,7,41,2
"251261000000",2,1,11,99,16,2
"251264000000",1,2,11,2,24,2
"251270000000",2,2,11,1,28,2
"251275000000",2,2,11,2,15,NA
"251283000000",2,2,15,2,NA,3
"251291000000",1,2,10,2,27,2
"251293000000",1,2,11,1,26,2
"251299000000",1,2,13,7,34,2
"251301000000",1,2,10,99,22,2
"251315000000",2,2,12,2,40,2
"251319000000",1,2,11,2,36,2
"251321000000",2,2,11,2,19,2
"251321000000",1,2,11,2,36,2
"251322000000",1,2,15,2,34,2
"251322000000",1,2,13,2,35,2
"251327000000",2,2,10,2,26,2
"251334000000",2,2,11,1,24,2
"251343000000",2,2,10,99,20,1
"251349000000",1,2,10,1,26,2
"251371000000",1,2,11,1,25,2
"251383000000",2,2,11,1,21,2
"251384000000",2,2,10,1,18,2
"251385000000",2,1,10,6,36,2
"251393000000",1,2,10,1,32,2
"251402000000",1,2,10,7,27,1
"251412000000",1,2,13,2,21,2
"251424000000",1,2,10,1,33,2
"251426000000",2,2,10,1,19,2
"251430000000",1,2,10,1,18,NA
"251439000000",2,2,11,2,19,3
"251449000000",1,2,10,2,59,2
"251469000000",1,2,10,1,34,1
"251474000000",2,2,11,2,42,2
"251475000000",2,2,10,2,25,2
"251477000000",2,2,16,2,NA,3
"251477000000",2,2,11,1,23,NA
"251488000000",2,2,16,2,34,3
"251493000000",2,2,11,2,33,2
"251494000000",1,2,12,2,20,2
"251525000000",2,2,10,1,19,2
"251528000000",1,2,12,2,22,2
"251531000000",1,2,15,1,35,2
"251534000000",1,2,10,1,38,1
"251537000000",2,2,15,1,19,2
"251537000000",1,2,11,1,23,2
"251538000000",1,2,10,2,24,2
"251538000000",2,2,12,2,22,2
"251542000000",2,2,11,2,19,2
"251547000000",1,2,10,1,27,3
"251552000000",2,2,10,2,31,2
"251555000000",1,2,10,1,40,3
"251557000000",1,2,10,99,22,2
"251557000000",2,2,11,2,21,2
"251563000000",1,2,11,99,31,2
"251564000000",1,2,11,99,24,2
"251566000000",1,2,10,2,14,2
"251575000000",1,2,10,1,19,2
"251579000000",2,2,10,99,36,2
"251579000000",2,2,11,1,35,2
"251579000000",2,2,16,1,27,2
"251579000000",2,2,14,1,29,2
"251580000000",1,1,10,99,35,2
"251584000000",2,2,10,2,21,2
"251596000000",2,2,14,2,18,NA
"251596000000",2,2,11,2,20,NA
"251608000000",1,2,13,7,22,3
"251612000000",1,2,10,2,29,2
"251614000000",2,2,9,1,19,1
"251636000000",1,2,10,99,26,2
"251656000000",1,2,9,1,21,3
"251658000000",1,2,9,1,20,2
"251661000000",2,2,10,1,35,1
"251666000000",1,2,10,2,21,2
"251670000000",1,2,13,2,32,2
"251670000000",1,2,11,2,33,2
"251675000000",1,2,9,1,24,2
"251681000000",1,2,10,1,25,2
"251682000000",2,2,10,1,20,2
"251687000000",1,2,13,7,24,2
"251689000000",2,2,9,7,33,1
"251689000000",1,2,9,7,28,1
"251689000000",2,2,9,2,22,NA
"251698000000",1,2,9,7,28,2
"251715000000",1,2,10,2,24,2
"251720000000",1,2,10,1,26,2
"251728000000",2,2,10,1,21,1
"251736000000",2,2,10,2,26,2
"251737000000",2,2,10,7,40,3
"251739000000",2,2,9,1,20,2
"251740000000",1,2,10,2,30,NA
"251741000000",1,2,14,1,28,3
"251741000000",1,2,12,1,29,1
"251741000000",2,2,9,2,19,2
"251743000000",2,2,10,1,21,2
"251747000000",1,2,9,1,27,3
"251748000000",1,2,10,1,26,2
"251758000000",1,2,10,99,31,2
"251758000000",2,2,14,7,32,3
"251762000000",2,2,9,2,29,3
"251764000000",2,2,10,99,24,2
"251767000000",1,2,9,7,35,2
"251767000000",2,2,9,7,35,2
"251770000000",2,2,15,2,25,2
"251770000000",2,2,13,2,26,2
"251770000000",2,2,12,2,27,2
"251771000000",2,2,9,2,19,2
"251789000000",1,2,9,2,29,2
"251793000000",1,2,10,1,25,2
"251797000000",2,2,9,1,23,2
"251797000000",2,2,10,1,38,2
"251798000000",2,2,11,1,25,3
"251798000000",2,2,10,2,27,2
"251800000000",1,2,9,2,20,2
"251802000000",1,2,9,2,16,2
"251816000000",1,2,9,2,26,2
"251819000000",1,2,19,2,19,2
"251821000000",1,2,10,1,25,2
"251827000000",2,2,9,4,18,2
"251828000000",1,2,9,7,40,NA
"251831000000",1,2,5,1,28,2
"251834000000",2,2,16,2,18,2
"251838000000",1,2,13,2,34,3
"251840000000",1,2,9,1,42,2
"251841000000",2,2,9,1,22,1
"251844000000",2,2,9,2,29,2
"251848000000",1,2,8,99,22,1
"251854000000",1,2,9,1,26,2
"251862000000",1,2,10,7,37,2
"251863000000",1,2,14,99,30,3
"251866000000",2,2,11,2,43,2
"251866000000",1,2,13,2,30,2
"251866000000",2,2,12,2,31,2
"251869000000",1,2,10,2,26,2
"251869000000",1,2,9,1,22,2
"251871000000",2,2,11,2,29,2
"251871000000",2,2,9,2,31,2
"251874000000",2,2,9,2,20,2
"251877000000",1,2,10,1,32,1
"251878000000",1,2,9,1,27,2
"251880000000",2,2,9,7,24,2
"251885000000",1,2,10,99,24,2
"251888000000",2,2,14,7,20,3
"251890000000",1,2,9,2,24,2
"251893000000",2,2,8,1,17,2
"251903000000",1,2,8,2,35,2
"251907000000",2,2,9,7,26,3
"251911000000",2,2,11,2,29,2
"251911000000",2,2,5,7,15,2
"251921000000",1,2,9,1,28,2
"251921000000",1,2,8,1,25,2
"251927000000",2,2,10,7,24,3
"251931000000",1,2,10,2,32,2
"251932000000",1,2,10,2,17,2
"251938000000",2,2,9,7,34,2
"251949000000",1,2,9,2,34,2
"251950000000",2,2,9,2,31,2
"251960000000",1,2,11,1,27,1
"251960000000",2,2,12,1,26,1
"251961000000",2,2,10,2,28,2
"251967000000",1,2,10,2,22,2
"251969000000",1,2,10,2,25,2
"251969000000",2,2,15,2,20,2
"251973000000",2,2,12,2,23,2
"251974000000",2,2,9,1,NA,NA
"251974000000",1,2,8,1,20,2
"251974000000",1,2,8,1,21,2
"251984000000",1,2,9,2,33,2
"251994000000",1,2,9,2,36,2
"251994000000",1,2,8,6,16,2
"251995000000",1,2,8,1,18,2
"251996000000",1,2,7,1,27,2
"252000000000",2,2,8,1,31,1
"252001000000",2,2,9,2,37,2
"252002000000",1,2,9,1,24,2
"252012000000",1,2,8,2,24,2
"252017000000",1,2,13,7,23,2
"252017000000",1,2,9,7,28,2
"252017000000",1,2,9,1,27,2
"252018000000",1,2,8,2,31,2
"252020000000",2,2,8,99,31,3
