"RECNUM","SEX","AGYSPNDS","AgeAtAdopt","ChildRace","BioMomAgeAtBirth","MOMARRD","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"10115515140",2,2,0,1,20,1,33,33,1,1,1,0
"10185923110",1,2,1,2,29,2,45,54,1,1,1,1
"10199738080",2,2,0,1,24,2,36,45,1,1,1,0
"10206906020",2,2,0,99,28,2,41,44,1,1,1,9
"10286352150",1,2,1,99,36,2,32,32,1,1,1,9
"10291477140",2,2,0,99,23,2,43,39,1,1,1,9
"10291478120",1,2,0,99,23,2,43,39,1,1,1,9
"10302822130",1,2,0,1,24,2,60,65,1,1,1,0
"10330723240",1,2,0,99,22,2,50,52,1,1,1,9
"10614847090",2,2,0,1,28,2,47,42,1,1,1,0
"10617944030",2,2,0,99,24,2,32,29,1,1,1,9
"10698877230",1,2,0,1,15,NA,NA,NA,NA,99,99,9
"10835477240",2,2,0,99,32,2,42,39,1,1,1,9
"10861672080",1,2,0,99,23,1,38,36,1,1,1,9
"12204218080",1,2,1,1,24,2,38,43,1,1,1,0
"12204384010",1,2,2,99,23,2,49,NA,3,2,99,9
"12209504080",2,2,1,99,23,2,50,55,1,7,99,9
"12211837170",1,2,2,99,26,2,26,32,1,1,1,9
"12212759200",1,2,2,99,31,2,42,48,1,1,1,9
"12216673140",2,2,1,99,22,2,60,63,1,1,1,9
"12216901220",1,2,2,1,29,2,46,42,1,7,7,2
"12219536050",2,2,1,1,26,2,40,30,2,1,1,0
"12222439200",1,2,2,2,42,2,44,34,1,2,2,0
"12223880160",1,2,1,1,26,2,39,49,1,1,1,0
"12225039010",2,2,2,2,30,2,64,55,1,2,2,0
"12228044060",2,2,2,1,20,1,51,53,1,1,1,0
"12228543160",2,2,1,1,36,1,58,55,1,1,1,0
"12231388170",1,2,1,1,20,2,52,43,1,1,1,0
"12240120110",1,2,0,99,23,2,56,60,2,1,2,9
"12241623180",2,2,1,1,26,2,45,NA,3,1,99,0
"12244960020",2,2,1,2,26,3,27,NA,3,2,99,0
"12245629110",1,2,1,1,26,2,40,43,1,1,1,0
"12248980250",2,2,1,1,24,1,38,30,1,1,1,0
"12248993150",1,2,1,3,30,2,34,37,1,1,1,1
"12252116060",2,2,1,1,25,2,49,51,1,1,1,0
"12258639190",1,2,2,1,29,2,36,30,1,1,1,0
"12258751190",2,2,1,4,40,3,51,51,1,1,1,1
"12262631050",1,2,2,2,31,2,38,NA,3,2,99,0
"12266345240",1,2,1,1,23,2,38,34,1,1,1,0
"12267089060",1,2,1,1,35,2,34,35,1,1,1,0
"12274307130",1,2,1,1,24,2,55,53,1,1,1,0
"12276175190",2,2,1,99,30,2,32,28,1,1,1,9
"12277593130",1,2,3,1,20,1,28,53,2,1,7,0
"12277594110",2,2,2,1,21,1,28,53,2,1,7,0
"12279057030",2,2,1,99,22,2,55,52,1,1,1,9
"12285210030",1,2,1,1,24,2,43,47,1,1,1,0
"12285795160",1,2,1,1,25,1,59,53,1,1,1,0
"12288970160",1,2,0,1,25,2,37,32,1,2,2,2
"12289439150",1,2,1,1,21,2,36,36,1,1,1,0
"12292194130",2,2,2,99,19,2,31,NA,3,1,99,9
"12293705030",1,2,4,1,19,2,45,NA,4,1,99,0
"12294844140",2,2,1,7,28,2,40,42,1,7,7,0
