"RECNUM","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"10115515140",33,33,1,1,1,0
"10185923110",45,54,1,1,1,1
"10199738080",36,45,1,1,1,0
"10206906020",41,44,1,1,1,9
"10286352150",32,32,1,1,1,9
"10291477140",43,39,1,1,1,9
"10291478120",43,39,1,1,1,9
"10302822130",60,65,1,1,1,0
"10330723240",50,52,1,1,1,9
"10614847090",47,42,1,1,1,0
"10617944030",32,29,1,1,1,9
"10698877230",NA,NA,NA,99,99,9
"10835477240",42,39,1,1,1,9
"10861672080",38,36,1,1,1,9
"12204218080",38,43,1,1,1,0
"12204384010",49,NA,3,2,99,9
"12209504080",50,55,1,7,99,9
"12211837170",26,32,1,1,1,9
"12212759200",42,48,1,1,1,9
"12216673140",60,63,1,1,1,9
"12216901220",46,42,1,7,7,2
"12219536050",40,30,2,1,1,0
"12222439200",44,34,1,2,2,0
"12223880160",39,49,1,1,1,0
"12225039010",64,55,1,2,2,0
"12228044060",51,53,1,1,1,0
"12228543160",58,55,1,1,1,0
"12231388170",52,43,1,1,1,0
"12240120110",56,60,2,1,2,9
"12241623180",45,NA,3,1,99,0
"12244960020",27,NA,3,2,99,0
"12245629110",40,43,1,1,1,0
"12248980250",38,30,1,1,1,0
"12248993150",34,37,1,1,1,1
"12252116060",49,51,1,1,1,0
"12258639190",36,30,1,1,1,0
"12258751190",51,51,1,1,1,1
"12262631050",38,NA,3,2,99,0
"12266345240",38,34,1,1,1,0
"12267089060",34,35,1,1,1,0
"12274307130",55,53,1,1,1,0
"12276175190",32,28,1,1,1,9
"12277593130",28,53,2,1,7,0
"12277594110",28,53,2,1,7,0
"12279057030",55,52,1,1,1,9
"12285210030",43,47,1,1,1,0
"12285795160",59,53,1,1,1,0
"12288970160",37,32,1,2,2,2
"12289439150",36,36,1,1,1,0
"12292194130",31,NA,3,1,99,9
"12293705030",45,NA,4,1,99,0
"12294844140",40,42,1,7,7,0
"12297576200",49,51,1,1,1,9
"12301187210",66,71,1,4,4,0
"12303909220",30,32,1,1,1,1
"12313142030",48,NA,3,2,99,0
"12313228170",35,38,1,1,1,1
"12315269130",24,25,2,1,1,0
"12316112160",50,NA,3,1,99,0
"12317720210",47,NA,3,5,99,2
"12328643130",43,44,1,1,1,0
"12331519080",32,34,1,1,1,1
"12334698150",30,NA,3,1,99,0
"12336558050",48,36,1,2,2,0
"12337770030",56,NA,3,2,99,0
"12344511140",43,43,1,1,1,0
"12351216210",35,35,1,1,1,0
"12352457170",44,NA,3,1,99,9
"12353009260",29,30,2,1,1,0
"12354282220",38,49,1,1,1,0
"12355251200",35,38,1,1,1,0
"12355803110",32,30,1,1,1,0
"12356646120",47,42,1,1,1,0
"12357903170",47,44,1,1,1,0
"12359540050",48,49,1,1,1,1
"12361085250",38,43,1,1,1,0
"12364118140",49,47,1,1,1,9
"12379075050",43,36,1,7,1,0
"12386969160",50,50,1,2,2,2
"12423436200",40,NA,3,1,99,9
"12452751090",39,39,1,1,1,0
"12467393250",42,53,1,1,1,0
"12477870130",44,NA,3,1,99,1
"12479978260",40,40,1,1,1,0
"12528239240",33,36,1,1,7,0
"12534938250",35,37,1,1,1,0
"12574601160",43,44,1,1,1,0
"12582006060",35,NA,4,7,99,9
"12597536020",58,50,1,1,1,0
"12612275110",46,49,1,1,2,0
"12629142060",49,56,1,1,1,1
"12653048010",NA,NA,NA,99,99,9
"12662517060",43,52,1,7,7,2
"12677154090",45,50,1,1,1,0
"12677155060",45,50,1,1,1,0
"12698447190",49,45,1,3,3,2
"240841000000",63,NA,3,1,99,0
"241151000000",66,NA,3,1,99,0
"241165000000",NA,NA,NA,99,99,9
"241625000000",49,NA,3,2,99,0
"241660000000",54,51,1,1,7,3
"241694000000",57,67,1,1,1,0
"241706000000",40,39,1,1,1,0
"241734000000",46,47,1,5,1,3
"241800000000",39,41,1,1,3,0
"241824000000",39,42,1,1,1,0
"241832000000",57,58,2,99,99,9
"241839000000",61,58,1,1,1,0
"241881000000",45,NA,3,7,99,3
"241884000000",58,NA,3,2,99,0
"241903000000",53,NA,3,1,99,0
"241918000000",43,NA,4,1,99,9
"241919000000",47,48,1,1,1,0
"241927000000",80,NA,3,2,99,2
"241954000000",54,NA,3,2,99,3
"241959000000",38,NA,4,1,99,0
"241968000000",55,NA,3,99,99,9
"241979000000",64,NA,3,7,99,0
"242048000000",53,NA,3,2,99,0
"242052000000",57,NA,3,1,99,0
"242059000000",46,47,1,1,1,1
"242070000000",55,NA,3,99,99,9
"242070000000",76,NA,3,2,99,9
"242086000000",60,58,1,1,1,0
"242089000000",41,NA,3,1,99,0
"242125000000",51,NA,3,2,99,0
"242133000000",54,54,1,1,1,0
"242135000000",39,NA,3,2,99,0
"242139000000",53,55,1,1,1,0
"242146000000",43,38,1,1,1,0
"242147000000",64,NA,3,2,99,0
"242162000000",52,NA,4,1,99,0
"242173000000",44,44,1,1,1,0
"250100000000",66,NA,4,1,99,0
"250103000000",51,NA,3,2,99,0
"250106000000",58,68,1,1,1,0
"250115000000",52,48,1,1,1,0
"250135000000",41,60,1,2,2,3
"250143000000",51,NA,3,2,99,0
"250151000000",47,NA,3,1,99,0
"250162000000",43,NA,3,2,99,0
"250164000000",64,67,1,1,1,9
"250178000000",56,57,1,1,1,0
"250179000000",45,46,1,1,1,0
"250179000000",39,41,1,1,3,0
"250179000000",55,NA,3,2,99,0
"250186000000",64,64,1,1,1,0
"250195000000",37,NA,3,2,99,0
"250200000000",44,44,1,1,1,9
"250209000000",40,NA,3,1,99,0
"250239000000",60,NA,4,2,99,9
"250239000000",56,NA,3,1,99,0
"250257000000",68,66,2,1,1,0
