"RecNumbr","SEX","CLINDIS","AgeAtEnd","RaceEthn","P1AgeAtBirth","CTKFAMST","TOTALREM","NUMPLEP","MANREM","RemRsnChil","IsTPR","ado","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"240841000000",1,2,20,1,NA,NA,1,7,2,0,1,1,62,58,2,1,1,0
"241884000000",1,1,20,2,31,3,1,2,2,0,1,1,57,NA,3,2,NA,0
"241151000000",1,1,19,1,NA,NA,1,3,2,0,1,1,65,NA,NA,1,NA,0
"241165000000",2,1,19,1,NA,NA,1,1,2,0,0,1,27,30,1,1,1,0
"241625000000",1,1,20,2,26,3,2,6,2,0,1,1,49,NA,NA,2,NA,0
"251819000000",1,2,19,2,NA,NA,1,8,1,0,1,1,42,NA,NA,2,NA,0
"241660000000",1,1,18,2,23,1,3,3,2,1,1,1,54,51,1,1,7,1
"241694000000",2,2,18,1,21,1,1,2,2,0,1,1,56,NA,1,1,NA,0
"241903000000",1,1,18,1,32,3,1,10,2,0,1,1,52,NA,3,1,NA,0
"242135000000",2,1,18,2,24,3,2,9,2,0,1,1,39,NA,2,2,NA,0
"250115000000",1,1,18,1,38,4,1,6,1,1,1,1,47,51,NA,1,1,0
"250396000000",2,1,18,2,27,3,1,1,2,0,1,1,43,NA,1,2,NA,0
"260618000000",2,1,18,2,23,1,1,8,2,0,1,1,52,NA,3,2,NA,0
"260864000000",1,1,18,7,26,3,1,3,2,0,1,1,58,NA,NA,7,NA,0
"261128000000",1,1,18,2,NA,NA,1,2,2,0,1,1,56,NA,NA,2,NA,0
"261315000000",2,1,18,2,NA,NA,1,2,2,0,1,1,47,49,NA,2,2,0
"261492000000",2,1,18,2,27,3,1,2,2,0,1,1,55,NA,3,2,NA,0
"261630000000",2,1,19,2,20,3,1,3,2,0,1,1,39,NA,3,2,NA,0
"241706000000",2,2,17,1,19,2,1,2,2,0,1,1,39,38,1,1,1,0
"241734000000",1,1,17,2,23,1,1,5,2,0,1,1,46,47,3,4,1,1
"241800000000",1,2,17,1,23,3,1,2,2,0,1,1,39,NA,3,1,NA,0
"241824000000",2,1,17,1,34,1,1,7,2,0,1,1,41,38,1,1,1,0
"241832000000",1,2,17,2,33,2,1,1,2,0,1,1,58,57,NA,2,2,0
"241839000000",1,2,17,1,23,3,1,4,1,1,0,1,57,60,NA,1,1,0
"241848000000",2,NA,17,1,22,3,3,2,NA,NA,1,0,63,65,NA,1,1,0
"241860000000",2,1,17,2,19,3,2,3,2,0,1,0,36,NA,2,1,NA,NA
"241864000000",1,2,17,7,22,4,3,1,2,0,1,0,59,62,NA,1,1,1
"241881000000",2,1,18,2,NA,NA,1,6,2,0,0,1,45,NA,NA,2,NA,0
"241894000000",1,2,17,1,39,1,3,2,NA,NA,1,0,NA,NA,NA,NA,NA,NA
"241895000000",2,1,17,2,28,3,1,2,2,0,0,0,61,62,1,2,2,0
"241918000000",1,1,18,99,NA,NA,2,4,2,0,1,1,43,NA,NA,1,NA,9
"241954000000",1,2,17,6,29,3,1,2,2,0,1,1,53,NA,3,2,NA,NA
"241959000000",1,1,18,1,NA,NA,1,4,2,1,1,1,38,NA,4,1,NA,0
"241963000000",2,1,17,99,16,2,1,5,2,1,1,0,49,49,NA,1,1,9
"241967000000",1,1,17,2,48,3,2,1,2,0,1,0,NA,NA,NA,NA,NA,NA
"241968000000",1,1,17,2,NA,NA,1,3,2,0,1,1,55,NA,NA,2,NA,0
"241968000000",1,1,17,1,21,1,1,3,1,1,1,0,NA,NA,NA,NA,NA,NA
"241970000000",2,1,17,99,15,1,3,3,2,0,1,0,NA,NA,NA,NA,NA,9
"241976000000",2,1,17,7,NA,NA,1,6,2,0,1,0,NA,NA,NA,NA,NA,NA
"241979000000",2,2,17,7,30,3,2,4,2,0,1,1,64,NA,NA,2,NA,NA
"241990000000",2,1,17,1,32,3,2,5,2,0,1,0,NA,NA,NA,NA,NA,NA
"241992000000",2,1,17,1,NA,NA,1,3,2,1,1,0,50,44,NA,1,2,0
"241997000000",1,1,17,2,39,1,5,2,2,1,1,0,NA,NA,NA,NA,NA,NA
"241998000000",1,1,17,2,23,3,3,4,2,0,1,0,NA,NA,NA,NA,NA,NA
"242005000000",1,1,17,7,17,3,1,4,2,0,1,0,NA,NA,NA,NA,NA,NA
"242049000000",1,1,17,2,NA,NA,1,3,2,0,1,0,NA,NA,NA,NA,NA,NA
"242070000000",2,1,17,2,NA,NA,1,5,2,0,1,1,55,NA,1,2,NA,0
"242125000000",1,2,18,2,23,2,3,1,2,0,1,1,51,NA,1,2,NA,0
"242135000000",2,1,17,2,25,3,2,20,2,0,1,0,NA,NA,NA,NA,NA,NA
"250268000000",1,1,17,7,25,3,1,2,2,0,1,1,65,NA,NA,2,NA,NA
"250328000000",2,2,17,2,NA,NA,1,3,2,0,1,1,43,NA,NA,2,NA,0
"250508000000",2,1,17,2,28,3,1,1,2,0,1,1,30,NA,NA,2,NA,0
"250902000000",2,1,17,7,25,2,1,13,1,1,1,0,43,NA,NA,1,NA,NA
"250956000000",1,1,17,7,NA,5,1,5,2,0,1,1,39,40,3,7,7,0
"251694000000",2,2,17,1,28,3,1,1,2,1,1,0,NA,NA,NA,NA,NA,NA
"251694000000",2,1,17,1,28,3,1,2,NA,NA,1,0,43,45,1,7,7,2
"252025000000",2,1,17,2,NA,5,2,4,2,0,0,0,NA,NA,NA,NA,NA,NA
"252184000000",2,1,17,7,17,2,2,3,2,0,1,1,57,NA,3,7,NA,0
"252185000000",1,2,17,99,53,3,1,3,2,0,0,0,53,NA,1,7,NA,9
"252200000000",1,1,17,4,NA,5,3,3,2,0,1,0,45,NA,1,1,NA,NA
"252240000000",1,1,17,2,27,2,1,6,2,0,1,1,54,NA,3,2,NA,0
"252347000000",1,1,17,2,28,1,1,9,2,0,1,1,42,NA,1,3,NA,NA
"252380000000",1,1,17,7,17,1,3,11,2,0,0,0,NA,NA,NA,NA,NA,NA
"252526000000",2,1,17,2,49,1,4,14,2,0,1,0,NA,NA,NA,NA,NA,NA
"260170000000",1,2,17,2,15,3,1,2,2,1,1,1,32,NA,3,2,NA,0
"260307000000",2,1,17,2,35,1,1,9,2,0,1,0,NA,NA,NA,NA,NA,NA
"260505000000",1,1,17,2,28,3,1,2,2,0,0,0,NA,NA,NA,NA,NA,NA
"260873000000",2,1,17,2,22,3,1,2,2,0,1,0,NA,NA,NA,NA,NA,NA
"260969000000",1,1,16,99,48,3,1,1,1,1,1,1,59,NA,4,2,NA,9
"261206000000",2,1,18,1,30,4,1,1,2,0,1,1,48,50,1,4,4,2
"261424000000",1,1,17,99,30,3,1,2,2,0,0,0,49,NA,NA,7,NA,9
"261448000000",1,1,17,99,47,3,2,1,2,0,0,0,28,NA,1,7,NA,9
"261538000000",2,2,17,99,NA,NA,1,2,2,0,1,0,31,31,3,4,4,9
"261800000000",1,1,17,2,49,4,1,1,2,0,0,0,45,NA,3,2,NA,0
"262375000000",2,2,17,1,18,2,1,2,2,0,1,1,43,43,1,1,1,0
"262375000000",1,1,17,4,26,2,1,8,2,1,1,0,86,NA,NA,2,NA,NA
"262608000000",1,1,17,2,23,4,1,3,2,0,1,0,51,NA,NA,7,NA,NA
"241919000000",1,1,17,1,28,3,2,6,2,0,1,1,35,37,1,1,1,0
"241925000000",1,1,17,1,20,1,1,6,2,0,1,0,NA,NA,NA,NA,NA,NA
"241927000000",1,2,16,1,19,2,1,1,2,0,1,1,80,NA,3,2,NA,NA
"241941000000",2,2,17,1,NA,NA,1,3,2,1,1,0,NA,NA,NA,NA,NA,NA
