"RecNumbr","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"240841000000",62,58,2,1,1,0
"241884000000",57,NA,3,2,NA,0
"241151000000",65,NA,NA,1,NA,0
"241165000000",27,30,1,1,1,0
"241625000000",49,NA,NA,2,NA,0
"251819000000",42,NA,NA,2,NA,0
"241660000000",54,51,1,1,7,1
"241694000000",56,NA,1,1,NA,0
"241903000000",52,NA,3,1,NA,0
"242135000000",39,NA,2,2,NA,0
"250115000000",47,51,NA,1,1,0
"250396000000",43,NA,1,2,NA,0
"260618000000",52,NA,3,2,NA,0
"260864000000",58,NA,NA,7,NA,0
"261128000000",56,NA,NA,2,NA,0
"261315000000",47,49,NA,2,2,0
"261492000000",55,NA,3,2,NA,0
"261630000000",39,NA,3,2,NA,0
"241706000000",39,38,1,1,1,0
"241734000000",46,47,3,4,1,1
"241800000000",39,NA,3,1,NA,0
"241824000000",41,38,1,1,1,0
"241832000000",58,57,NA,2,2,0
"241839000000",57,60,NA,1,1,0
"241848000000",63,65,NA,1,1,0
"241860000000",36,NA,2,1,NA,NA
"241864000000",59,62,NA,1,1,1
"241881000000",45,NA,NA,2,NA,0
"241894000000",NA,NA,NA,NA,NA,NA
"241895000000",61,62,1,2,2,0
"241918000000",43,NA,NA,1,NA,9
"241954000000",53,NA,3,2,NA,NA
"241959000000",38,NA,4,1,NA,0
"241963000000",49,49,NA,1,1,9
"241967000000",NA,NA,NA,NA,NA,NA
"241968000000",55,NA,NA,2,NA,0
"241968000000",NA,NA,NA,NA,NA,NA
"241970000000",NA,NA,NA,NA,NA,9
"241976000000",NA,NA,NA,NA,NA,NA
"241979000000",64,NA,NA,2,NA,NA
"241990000000",NA,NA,NA,NA,NA,NA
"241992000000",50,44,NA,1,2,0
"241997000000",NA,NA,NA,NA,NA,NA
"241998000000",NA,NA,NA,NA,NA,NA
"242005000000",NA,NA,NA,NA,NA,NA
"242049000000",NA,NA,NA,NA,NA,NA
"242070000000",55,NA,1,2,NA,0
"242125000000",51,NA,1,2,NA,0
"242135000000",NA,NA,NA,NA,NA,NA
"250268000000",65,NA,NA,2,NA,NA
"250328000000",43,NA,NA,2,NA,0
"250508000000",30,NA,NA,2,NA,0
"250902000000",43,NA,NA,1,NA,NA
"250956000000",39,40,3,7,7,0
