year,city,country,city_temp,global_temp
1775,Denver,United States,10.32,9.18
1776,Denver,United States,6.23,8.30
1777,Denver,United States,,8.26
1778,Denver,United States,,8.54
1779,Denver,United States,,8.98
1780,Denver,United States,,9.43
1781,Denver,United States,,8.10
1782,Denver,United States,,7.90
1783,Denver,United States,,7.68
1784,Denver,United States,,7.86
1785,Denver,United States,,7.36
1786,Denver,United States,,8.26
1787,Denver,United States,,8.03
1788,Denver,United States,,8.45
1789,Denver,United States,,8.33
1790,Denver,United States,,7.98
1791,Denver,United States,,8.23
1792,Denver,United States,,8.09
1793,Denver,United States,,8.23
1794,Denver,United States,,8.53
1795,Denver,United States,,8.35
1796,Denver,United States,,8.27
1797,Denver,United States,,8.51
1798,Denver,United States,,8.67
1799,Denver,United States,,8.51
1800,Denver,United States,,8.48
1801,Denver,United States,,8.59
1802,Denver,United States,,8.58
1803,Denver,United States,,8.50
1804,Denver,United States,,8.84
1805,Denver,United States,,8.56
1806,Denver,United States,,8.43
1807,Denver,United States,,8.28
1808,Denver,United States,,7.63
1809,Denver,United States,,7.08
1810,Denver,United States,,6.92
1811,Denver,United States,,6.86
1812,Denver,United States,,7.05
1813,Denver,United States,,7.74
1814,Denver,United States,,7.59
1815,Denver,United States,,7.24
1816,Denver,United States,,6.94
1817,Denver,United States,,6.98
1818,Denver,United States,,7.83
1819,Denver,United States,,7.37
1820,Denver,United States,7.43,7.62
1821,Denver,United States,8.11,8.09
1822,Denver,United States,8.36,8.19
1823,Denver,United States,8.03,7.72
1824,Denver,United States,8.43,8.55
1825,Denver,United States,9.10,8.39
1826,Denver,United States,8.44,8.36
1827,Denver,United States,9.20,8.81
1828,Denver,United States,8.60,8.17
1829,Denver,United States,8.50,7.94
1830,Denver,United States,9.33,8.52
1831,Denver,United States,7.61,7.64
1832,Denver,United States,8.35,7.45
1833,Denver,United States,9.07,8.01
1834,Denver,United States,10.31,8.15
1835,Denver,United States,7.42,7.39
1836,Denver,United States,7.46,7.70
1837,Denver,United States,8.00,7.38
1838,Denver,United States,7.34,7.51
1839,Denver,United States,8.57,7.63
1840,Denver,United States,8.10,7.80
1841,Denver,United States,8.11,7.69
1842,Denver,United States,8.48,8.02
1843,Denver,United States,7.76,8.17
1844,Denver,United States,8.11,7.65
1845,Denver,United States,8.71,7.85
1846,Denver,United States,9.44,8.55
1847,Denver,United States,7.67,8.09
1848,Denver,United States,7.87,7.98
1849,Denver,United States,8.23,7.98
1850,Denver,United States,8.24,7.90
1851,Denver,United States,8.83,8.18
1852,Denver,United States,7.84,8.10
1853,Denver,United States,8.52,8.04
1854,Denver,United States,9.22,8.21
1855,Denver,United States,8.81,8.11
1856,Denver,United States,8.11,8.00
1857,Denver,United States,8.57,7.76
1858,Denver,United States,8.45,8.10
1859,Denver,United States,7.81,8.25
1860,Denver,United States,8.95,7.96
1861,Denver,United States,9.21,7.85
1862,Denver,United States,8.59,7.56
1863,Denver,United States,8.92,8.11
1864,Denver,United States,8.53,7.98
1865,Denver,United States,8.49,8.18
1866,Denver,United States,8.46,8.29
1867,Denver,United States,9.26,8.44
1868,Denver,United States,8.49,8.25
1869,Denver,United States,7.75,8.43
1870,Denver,United States,8.84,8.20
